id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1187672440198979588,Fri Oct 25 10:09:10 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @moneycontrolcom: How govt’s #gold policies make India’s neighbours richer and itself poorer, @RNBhaskar explains: https://t.co/oykDOnmx…",RT moneycontrolcom How govt ’ gold policies make India ’ neighbours richer poorer RNBhaskar explains https //t.co/oykDOnmx…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,1,Arghya_Mutual,,gold,"moneycontrolcom, rnbhaskar",,
1187672317909819392,Fri Oct 25 10:08:41 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Should you buy gold now, despite hike in prices? https://t.co/F7nkqwiCIF #GoldPrice #Dhanteras @the_nachiket",Should buy gold despite hike prices https //t.co/F7nkqwiCIF GoldPrice Dhanteras the_nachiket,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,TheWeekLive,False,"GoldPrice, Dhanteras",the_nachiket,India,
1187669973428080640,Fri Oct 25 09:59:22 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","How govt’s #gold policies make India’s neighbours richer and itself poorer, @RNBhaskar explains:… https://t.co/TA16WoXmsl",How govt ’ gold policies make India ’ neighbours richer poorer RNBhaskar explains … https //t.co/TA16WoXmsl,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,6,1,moneycontrolcom,False,gold,rnbhaskar,Mumbai,
1187669188489502720,Fri Oct 25 09:56:15 +0000 2019,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",Check #gold on #ebay &gt;&gt; https://t.co/ZI5iaVeMM0 || Gold prices rally Rs 220 on Dhanteras - Economic Times… https://t.co/k8yPH1Dx9k,Check gold ebay gt gt https //t.co/ZI5iaVeMM0 || Gold prices rally Rs 220 Dhanteras Economic Times… https //t.co/k8yPH1Dx9k,"Sentiment(polarity=0.2, subjectivity=0.2)",0.2,0.2,en,0,0,Gold__Money,False,"gold, ebay",,United States,
1187644040717721600,Fri Oct 25 08:16:19 +0000 2019,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",Check #gold on #ebay &gt;&gt; https://t.co/ZI5iaVeMM0 || Gold prices steady after ECB leaves interest rates unchanged - K… https://t.co/m6hvvCu1CI,Check gold ebay gt gt https //t.co/ZI5iaVeMM0 || Gold prices steady ECB leaves interest rates unchanged K… https //t.co/m6hvvCu1CI,"Sentiment(polarity=0.16666666666666666, subjectivity=0.5)",0.16666666666666666,0.5,en,0,0,Gold__Money,False,"gold, ebay",,United States,
1187642948571189253,Fri Oct 25 08:11:58 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @ABCBullion: Gold is Under-Owned: this week, we look at the threat of crypto currencies to governments, the downside of high #palladium…",RT ABCBullion Gold Under-Owned week look threat crypto currencies governments downside high palladium…,"Sentiment(polarity=0.16, subjectivity=0.5399999999999999)",0.16,0.5399999999999999,en,0,1,bronsuchecki,,palladium,ABCBullion,"Perth, Western Australia",
1187631275261222912,Fri Oct 25 07:25:35 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#gold: #goldprice surged yesterday. Now keep your eye on the key resistance level of 1509.  
#forexnews
GOLD | One… https://t.co/G5im7xEHSx",gold goldprice surged yesterday Now keep eye key resistance level 1509 forexnews GOLD One… https //t.co/G5im7xEHSx,"Sentiment(polarity=0.0, subjectivity=1.0)",0.0,1.0,en,0,0,OBillionSignals,False,"gold, goldprice, forexnews",,,
1187626105294880768,Fri Oct 25 07:05:03 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","A favorable environment has emerged for gold. Click on the link below to read more. 

#PrithvirajKothari #RSBL… https://t.co/ZYIeLawnJa",A favorable environment emerged gold Click link read PrithvirajKothari RSBL… https //t.co/ZYIeLawnJa,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,2,0,PrithvirajRSBL,False,"PrithvirajKothari, RSBL",,Mumbai,
1187625302442283008,Fri Oct 25 07:01:51 +0000 2019,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Check #gold on #ebay &gt;&gt; https://t.co/ZI5iaVeMM0 || Dhanteras 2019: Gold prices higher today, silver rates surge - L… https://t.co/ykiGPSj5p7",Check gold ebay gt gt https //t.co/ZI5iaVeMM0 || Dhanteras 2019 Gold prices higher today silver rates surge L… https //t.co/ykiGPSj5p7,"Sentiment(polarity=0.25, subjectivity=0.5)",0.25,0.5,en,0,0,Gold__Money,False,"gold, ebay",,United States,
1187625298734583809,Fri Oct 25 07:01:50 +0000 2019,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",Check #gold on #ebay &gt;&gt; https://t.co/ZI5iaVeMM0 || Gold Price Targets: XAU/USD Threatens Breakout- GLD Outlook - Da… https://t.co/9lq6k9KJRh,Check gold ebay gt gt https //t.co/ZI5iaVeMM0 || Gold Price Targets XAU/USD Threatens Breakout- GLD Outlook Da… https //t.co/9lq6k9KJRh,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,Gold__Money,False,"gold, ebay",,United States,
